股號,公司,五年內發放次數,最近一次發放,上次紀念品,最近股價,五年紀念品總估值,新版性價比,新版推薦評分,去年條件,五年發放紀念品
8111,立碁,5,2025,清淨海檸檬洗衣膠囊,67,190,2.84,5 星,電子投票截圖,"(2025)清淨海檸檬洗衣膠囊
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
8112,至上,5,2025,台灣茶摳,87,250,2.87,5 星,電子投票截圖,"(2025)台灣茶摳
(2024)保冷袋(系微倍微至上)
(2023)安妮兔環保小麥桿泡麵碗4件組
(2022)防疫包(口罩十入加皂紙）
(2021)金農米600克"
8121,越峰,2,2022,USii優系高效鎖鮮袋超值組合包,24.35,80,1.31,4 星,,"(2022)USii優系高效鎖鮮袋超值組合包
(2021)多層式環保腰包"
8150,南茂,5,2025,7-11 50元商品卡,60.5,250,4.13,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
8163,達方,6,2025,日式斗笠碗禮盒組,28.4,410,17.32,5 星,電子投票截圖,"(2025)日式斗笠碗禮盒組
(2024)24合1磁吸螺絲刀工具組
(2023)妙管家媽咪廚房三寶
(2022)新埔良質米600克
(2022)妙管家懷特保溫杯450ml
(2021)妙管家懷特保溫杯"
8171,天宇,6,2025,7-11 35元商品卡,25.9,210,9.73,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
8176,智捷,5,2025,舒緩皂*1,10.85,205,18.89,5 星,,"(2025)舒緩皂*1
(2024)舒緩皂*1
(2023)全家禮物卡35元
(2022)全家禮物卡35元
(2021)全家禮物卡35元"
8183,精星,5,2025,黃麻購物袋,36.4,220,6.04,5 星,電子投票截圖,"(2025)黃麻購物袋
(2024)美式格紋收納提籃
(2023)全家禮物卡50元
(2022)愛盲手工皂 皂袋加皂邊15克
(2021)環保玻璃瓶300ml"
8213,志超,5,2025,7-11 50元商品卡,33.6,250,7.44,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
8215,明基材,5,2025,護妍天使全方位煥膚淨亮組,22.55,200,8.87,5 星,電子投票截圖,"(2025)護妍天使全方位煥膚淨亮組
(2024)經典雙星保養限定組/煥顏淨痘3步驟限定組(隨機出貨)
(2023)煥顏淨痘3步驟限定組
(2022)護妍天使益菌生保濕2步組
(2021)機能透氣棒球帽"
8222,寶一,5,2025,濾掛式咖啡包2入,37.7,250,6.63,5 星,電子投票截圖,"(2025)濾掛式咖啡包2入
(2024)濾掛式咖啡2入(2024)
(2023)濾掛式咖啡2入(2023)
(2022)濾掛式咖啡2入(2022)
(2021)濾掛式咖啡10克 2入"
8227,巨有科技,3,2025,7-11 50元商品卡,127,150,0.71,3 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元"
8240,華宏,2,2025,全家 50元商品卡,45.9,90,0.78,3 星,電子投票截圖,"(2025)全家 50元商品卡
(2022)古寶無患子噴霧式乾洗手"
8249,菱光,7,2025,暖心植樸舒活皂二入,50.9,340,6.55,5 星,電子投票截圖和身分證件正本,"(2025)暖心植樸舒活皂二入
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家經典中杯美式咖啡券
(2022)全家禮物卡50元
(2021)摩斯 樂雅樂 餐飲兌換卡
(2021)全家禮物卡50元"
8255,朋程,1,2021,7-11商品卡50元,125.5,50,0.08,1 星,,(2021)7-11商品卡50元
8261,富鼎,5,2025,7-11 中杯美式咖啡卡,111,220,1.98,5 星,電子投票截圖,"(2025)7-11 中杯美式咖啡卡
(2024)7-11商品卡35元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡35元"
8271,宇瞻,5,2025,隨身碟,173.5,210,0.85,4 星,電子投票截圖和身分證件正本,"(2025)隨身碟
(2024)32G隨身碟
(2023)16G隨身碟
(2022)7-11商品卡50元
(2021)隨身碟16G 宇瞻"
8277,商丞,5,2025,7-11 50元商品卡,8.3,235,19.82,5 星,電子投票截圖和身分證件正本,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡35元"
8289,泰藝,4,2025,多功能削皮器,34.55,200,4.63,5 星,電子投票截圖,"(2025)多功能削皮器
(2024)伊莎貝爾尤加利潔手慕斯250ml
(2023)台灣越光米200克
(2022)手工的皂二入 鼠尾草 小蒼蘭抗菌"
8299,群聯,5,2025,全家 50元商品卡,1800,270,0.15,2 星,電子投票截圖,"(2025)全家 50元商品卡
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)愛盲公益手工皂禮盒
(2021)蓮心園 有愛旳米 500克"
8358,金居,5,2025,7-11 50元商品卡,241.5,250,1.04,4 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
8383,千附,5,2025,7-11 50元商品卡,41.7,250,6,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)全家禮物卡50元"
8390,金益鼎,4,2025,沙威隆抗菌洗手露,100,160,1.28,4 星,電子投票截圖,"(2025)沙威隆抗菌洗手露
(2024)多功能筆插便利貼筆記本1入
(2023)按壓定量調味瓶1入
(2022)抗菌石鹼80克 二入"
8403,盛弘,4,2025,"智醫康寓住宿抵用券1,000元",22.55,1130,40.09,5 星,電子投票截圖,"(2025)智醫康寓住宿抵用券1,000元
(2024)海藻鈣錠10顆裝
(2023)盛弘關係企業消費抵用券二張
(2022)蜂王皂60克二入"
8409,商之器,3,2025,安妮兔方型一碗一匙禮盒,20.2,130,3.86,5 星,電子投票截圖,"(2025)安妮兔方型一碗一匙禮盒
(2024)不織布提袋
(2021)燕麥肌膚舒緩柔膚皂 80克"
8429,金麗-KY,4,2025,7-11 只有中杯美式咖啡卡,7.06,200,15.86,5 星,電子投票截圖和身分證件正本,"(2025)7-11 只有中杯美式咖啡卡
(2024)全家經典中杯美式咖啡券(期限20270630)
(2023)全家經典中杯美式咖啡券
(2022)全家經典中杯美式咖啡券"
8431,匯鑽科,5,2025,7-11 50元商品卡,68,300,4.41,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2025)統一100元禮物卡
(2024)全家經典中杯美式咖啡券(期限20270630)
(2023)全家禮物卡50元
(2022)全家禮物卡50元"
8435,鉅邁,2,2024,BAGCU折疊購物袋,56.3,140,0.99,4 星,電子投票截圖,"(2024)BAGCU折疊購物袋
(2023)7-11商品卡100元"
8436,大江,5,2025,至尊膠原面膜限量盲盒,122,200,1.64,5 星,電子投票截圖,"(2025)至尊膠原面膜限量盲盒
(2024)花萃透亮面膜五入
(2023)大人的生活-青春秘笈 七日體驗組
(2022)鋅C望粉狀食品
(2021)大江生醫經典面膜八片"
8437,大地-KY,2,2025,全家 50元商品卡,13.55,100,2.95,5 星,電子投票截圖,"(2025)全家 50元商品卡
(2024)全家禮物卡50元"
8440,綠電,3,2025,7-11 100元商品卡,24.45,250,6.13,5 星,電子投票截圖,"(2025)7-11 100元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡50元"
8443,阿瘦,5,2025,感恩購物金500元現金抵用券(阿瘦),11.8,2040,172.88,5 星,電子投票截圖,"(2025)感恩購物金500元現金抵用券(阿瘦)
(2024)感恩購物金500元現金抵用券
(2023)足健康好禮組
(2022)感恩購物金500元現金抵用券
(2021)阿瘦500元現金扺用券"
8477,創業家,1,2021,150元生活市集提貨券,13.5,150,2.22,5 星,,(2021)150元生活市集提貨券
8489,三貝德,6,2025,數位學習課程體驗券,26.25,270,12.34,5 星,電子投票截圖,"(2025)數位學習課程體驗券
(2025)統一超商50元商品卡
(2024)數位學習課程體驗券2024
(2023)數位學習課程體驗券
(2022)全家經典中杯美式咖啡券
(2021)毛寶抑菌力洗碗精(1000g)"
8905,裕國,2,2025,裕國門市商品抵用券100元,38.9,220,2.26,5 星,電子投票截圖,"(2025)裕國門市商品抵用券100元
(2023)愛佳寶不鏽鋼保鮮盒二入"
