股號,公司,五年內發放次數,最近一次發放,上次紀念品,最近股價,五年紀念品總估值,新版性價比,新版推薦評分,去年條件,五年發放紀念品
2337,旺宏,5,2025,7-11 50元商品卡,108.5,450,2.9,5 星,電子投票截圖和身分證件正本,"(2025)7-11 50元商品卡
(2024)7-11商品卡100元
(2023)7-11商品卡100元
(2022)7-11商品卡100元
(2021)7-11商品卡100元"
2338,光罩,6,2025,全家 35元商品卡,50,275,6.6,5 星,電子投票截圖,"(2025)全家 35元商品卡
(2024)全家經典中杯美式咖啡券
(2023)在地小農台茶18號紅茶包
(2022)全家經典中杯美式咖啡券
(2022)全家經典中杯美式咖啡券
(2021)全家經典中杯美式咖啡券"
2340,台亞,6,2025,7-11 50元商品卡,27.15,290,12.82,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)樂美雅法製深盤
(2021)7-11商品卡50元
(2021)7-11商品卡50元"
2342,茂矽,5,2025,毛寶好無比洗衣精,30.75,250,8.13,5 星,電子投票截圖,"(2025)毛寶好無比洗衣精
(2024)毛寶好無比 超淨亮/繽紛花園 洗衣精500ml
(2023)好無比洗衣精補充包500g
(2022)好無比洗衣精補充包500g
(2021)好無比 超麗潔洗衣精 500克"
2344,華邦電,5,2025,美樂抗菌皂組(1組4入),109,220,1.41,4 星,電子投票截圖和身分證件正本,"(2025)美樂抗菌皂組(1組4入)
(2024)美琪抗菌皂組(1組4入)
(2023)美琪抗菌洗手慕斯500ml
(2022)美琪抗菌洗手慕斯500ml
(2021)美琪T3抗菌洗手慕斯"
2345,智邦,5,2025,7-11 50元商品卡,1420,250,0.18,2 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2349,錸德,5,2025,除黴凝膠,12.9,200,15.5,5 星,電子投票截圖,"(2025)除黴凝膠
(2024)萬用去污膏
(2023)香氛噴霧30ml
(2022)防蚊液30ml
(2021)隨身酒精清潔液"
2352,佳世達,7,2025,大乖乖濕紙巾88抽,24.15,300,17.39,5 星,電子投票截圖,"(2025)大乖乖濕紙巾88抽
(2024)醫強75%酒精布60抽
(2024)幸福物語蒸氣眼罩(迪士尼系列-米奇)三入
(2024)醫強75%酒精布60抽
(2023)醫強75%酒精布60抽
(2022)艾爾絲醫用口罩(7入)佳世達
(2021)怡安口罩(7入)"
2353,宏碁,5,2025,旋轉手機支架(2353),27.35,200,7.31,5 星,電子投票截圖,"(2025)旋轉手機支架(2353)
(2023)Just Mask面膜
(2023)抗菌隨身包
(2022)Acer Vero 環保袋
(2021)抗菌隨身包"
2355,敬鵬,2,2025,保溫保冷袋,42.3,90,0.85,4 星,電子投票截圖,"(2025)保溫保冷袋
(2024)沙威隆抗菌皂 80克二入"
2359,所羅門,4,2025,伊莎貝爾無患子洗手乳(250ml),116,180,1.24,4 星,電子投票截圖,"(2025)伊莎貝爾無患子洗手乳(250ml)
(2024)保溫保冷提袋(所羅門)
(2023)蜂王洋甘菊舒緩潤膚皂70克二入
(2022)手工的皂二入 鼠尾草 小蒼蘭抗菌"
2363,矽統,5,2025,陶瓷碗組,50.6,250,3.46,5 星,寄單(開會通知書)和電子投票截圖和身分證件正本,"(2025)陶瓷碗組
(2024)SNOOPY 馬克杯
(2023)旅遊收納三件組
(2022)口罩
(2021)馬克杯"
2364,倫飛,4,2025,7-11 50元商品卡,62.9,200,2.54,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2021)7-11商品卡50元"
2365,昆盈,5,2025,全罩式耳機,34.8,750,21.55,5 星,電子投票截圖,"(2025)全罩式耳機
(2024)全罩頭戴式耳機
(2023)全家禮物卡50元
(2022)全家禮物卡50元
(2021)全家禮物卡50元"
2367,燿華,5,2025,多功能運動腰包,72.6,200,2.75,5 星,電子投票截圖,"(2025)多功能運動腰包
(2024)修甲美容12件套組
(2023)可摺疊桌面手機支架(圓剛)
(2022)三用照明燈
(2021)防疫禮盒組"
2369,菱生,5,2025,7-11 50元商品卡,27.85,300,10.77,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡100元
(2021)7-11商品卡50元"
2371,大同,5,2025,7-11 100元商品卡,31.8,440,13.84,5 星,電子投票截圖,"(2025)7-11 100元商品卡
(2025)7-11 100元商品卡
(2025)統一超商商品卡100元
(2023)7-11商品卡100元
(2022)大同綠能電力小英雄漫畫口罩-成人款"
2374,佳能,5,2025,稻回皂,70.6,240,3.4,5 星,電子投票截圖,"(2025)稻回皂
(2024)奇蹟蘭花洗衣膠囊4顆
(2023)蘭花除臭環保洗衣膠囊4顆裝
(2022)乾洗手凝露
(2021)白柚除臭環保洗衣膠囊"
2375,凱美,5,2025,妙管家洗衣球,80.5,210,2.61,5 星,電子投票截圖,"(2025)妙管家洗衣球
(2024)伊莎貝爾無患子洗手乳250ml
(2023)妙管家洗潔精500g
(2022)妙管家洗潔精500g
(2021)3M菜瓜布 15*22公分"
2376,技嘉,2,2024,天然麻布包心手提袋兩入組(中+小),233,190,0.23,2 星,電子投票截圖或身分證件圖片,"(2024)天然麻布包心手提袋兩入組(中+小)
(2021)泰山玄米油(已過期)及珍穀益組合"
2379,瑞昱,5,2025,全家 88元商品卡,470,440,0.94,4 星,電子投票截圖,"(2025)全家 88元商品卡
(2024)全家禮物卡88元
(2023)全家禮物卡88元
(2022)全家禮物卡88元
(2021)全家禮物卡88元"
2380,虹光,5,2025,草莓購物袋,5.6,240,42.86,5 星,電子投票截圖,"(2025)草莓購物袋
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元
(2021)7-11商品卡50元"
2390,云辰,4,2025,7-11 35元商品卡,9.71,155,12.77,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡50元"
2393,億光,2,2024,7-11商品卡35元,64.4,70,0.3,2 星,電子投票截圖或身分證件圖片,"(2024)7-11商品卡35元
(2023)7-11商品卡35元"
2399,映泰,4,2025,南僑水晶肥皂食器洗滌液体,26.25,190,4.05,5 星,電子投票截圖和身分證件正本,"(2025)南僑水晶肥皂食器洗滌液体
(2024)沙威隆抗菌皂 80克二入
(2023)伊莎貝爾尤加利潔手慕斯250ml
(2022)7-11商品卡50元"
2401,凌陽,5,2025,7-11 50元商品卡,20.9,250,11.96,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2402,毅嘉,5,2025,7-11 中杯美式咖啡卡,51.3,220,4.29,5 星,電子投票截圖,"(2025)7-11 中杯美式咖啡卡
(2024)7-11中杯美式或現萃茶提貨卡
(2023)7-11中杯美式或現萃茶提貨卡
(2022)精美口罩一入
(2021)台灣茶摳茶樹精油潤膚皂1入"
2404,漢唐,3,2024,全家禮物卡50元,1010,150,0.09,1 星,電子投票截圖,"(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元"
2405,輔信,5,2025,康寧Amber7.5吋湯盤,14.75,260,17.63,5 星,電子投票截圖,"(2025)康寧Amber7.5吋湯盤
(2024)康寧晶彩琥珀耐熱玻璃烤盤7吋
(2023)康寧餐碗一入
(2022)幸運草水晶碗
(2021)康寧 VISIONS晶彩琥珀8.5吋深盤"
2406,國碩,5,2025,7-11 35元商品卡,33.95,235,6.92,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2409,友達,5,2025,源頭米600g,16.55,350,21.15,5 星,電子投票截圖,"(2025)源頭米600g
(2024)源頭米 台灣產製真空包裝白米600公克
(2023)源頭米 台灣產製真空包裝白米600公克
(2022)源頭米 台灣產製真空包裝白米600公克
(2021)源頭米 台灣產製真空包裝白米600公克"
2417,圓剛,5,2025,戶外用摺疊手柄不鏽鋼杯,34.8,290,8.33,5 星,電子投票截圖,"(2025)戶外用摺疊手柄不鏽鋼杯
(2024)可摺疊桌面手機支架(圓剛)
(2023)TYPE-C USB充電線
(2022)蓓舒美海鹽淨膚皂130克二入
(2021)矽膠摺疊保鮮盒"
2420,新巨,4,2025,伊莎貝爾香皂2入,50.9,200,3.14,5 星,電子投票截圖,"(2025)伊莎貝爾香皂2入
(2024)伊莎貝爾櫻花香皂75克二入組
(2023)伊莎貝爾櫻花香皂75克二入組
(2022)全家禮物卡50元"
2421,建準,4,2025,麝香抗菌洗手露320g,144.5,160,0.62,3 星,電子投票截圖和身分證件正本,"(2025)麝香抗菌洗手露320g
(2024)耐斯泡舒洗潔精
(2023)耐斯泡舒洗潔精
(2022)耐斯泡舒洗潔精"
2425,承啟,2,2025,7-11 35元商品卡,30.65,70,0.91,4 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元"
2426,鼎元,5,2025,7-11 50元商品卡,33.85,250,7.39,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2429,銘旺科,1,2025,7-11 50元商品卡,50.3,50,0.2,2 星,電子投票截圖,(2025)7-11 50元商品卡
2430,燦坤,2,2024,燦坤贈品兌換券(200元),22.75,500,8.79,5 星,電子投票截圖,"(2024)燦坤贈品兌換券(200元)
(2021)燦坤贈品兌換券(300元)"
2431,聯昌,5,2025,餐品兌換券,12.5,320,25.6,5 星,電子投票截圖,"(2025)餐品兌換券
(2024)餐品兌換券(樂雅樂)
(2023)樂雅樂泰式綠咖哩雞
(2022)樂雅樂泰式綠咖哩雞
(2021)環保收納購物袋"
2436,偉詮電,5,2025,洗潔精一瓶,60.8,230,3.78,5 星,電子投票截圖,"(2025)洗潔精一瓶
(2024)蜂王洋甘菊舒緩潤膚皂70克二入
(2023)艾爾柏娜洗潔劑360ml
(2022)蜂王皂60克二入
(2021)艾爾柏娜 洗碗精 400ml"
2438,翔耀,2,2025,沙威隆肥皂組,20.6,90,1.75,5 星,電子投票截圖,"(2025)沙威隆肥皂組
(2024)多功能矽膠廚具組"
2439,美律,5,2025,全家企業禮贈卡50元,84.7,750,8.85,5 星,電子投票截圖,"(2025)全家企業禮贈卡50元
(2024)KINYO入耳式耳機麥克風
(2023)有線聽力保護音樂耳機(P101)
(2022)全家50元禮贈卡(美律 期限20221031)
(2021)全家企業禮贈卡50元(美律 期限10/31)"
2442,新美齊,4,2025,毛寶好無比洗衣精,19.7,200,8.12,5 星,電子投票截圖,"(2025)毛寶好無比洗衣精
(2024)毛寶好無比 超淨亮/繽紛花園 洗衣精500ml
(2023)毛寶好無比 超淨亮/繽紛花園 洗衣精500ml
(2022)毛寶好無比 超淨亮/繽紛花園 洗衣精500ml"
2444,兆勁,4,2025,防疫消毒酒精瓶(含非醫療酒精),13.2,170,10.3,5 星,電子投票截圖,"(2025)防疫消毒酒精瓶(含非醫療酒精)
(2024)防疫消毒酒精瓶60ml
(2023)防疫消毒酒精瓶60ml
(2022)經典義式咖啡豆100克"
2449,京元電子,5,2025,編織手提袋,295.5,200,0.47,3 星,電子投票截圖和身分證件正本,"(2025)編織手提袋
(2024)提袋
(2023)丹寧布提袋
(2022)丹寧布提袋
(2021)丹寧布提袋"
2453,凌群,2,2025,折疊手提購物袋,56.2,80,0.57,3 星,電子投票截圖,"(2025)折疊手提購物袋
(2024)伊莎貝爾抗菌日用品組"
2455,全新,3,2023,7-11商品卡50元,237.5,150,0.38,2 星,,"(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2457,飛宏,6,2025,7-11 35元商品卡,27.4,285,12.48,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元
(2021)7-11商品卡50元"
2458,義隆,4,2025,7-11 35元商品卡,143,140,0.55,3 星,電子投票截圖和身分證件正本,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元"
2460,建通,5,2025,雙口認證快充充電頭(不足時以等值商品替代),23.75,200,8.42,5 星,,"(2025)雙口認證快充充電頭(不足時以等值商品替代)
(2024)雙口認證快充充電頭
(2023)亞麻手提袋
(2022)三合一開罐器
(2021)美容修甲組"
2461,光群雷,10,2025,7-11 35元商品卡,15.45,390,50.49,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)手機掛繩(光群雷)
(2024)7-11商品卡35元
(2023)環保帆布手提袋(黃
(2023)益菌棉柔濕紙巾50抽
(2023)手電筒加瑞士刀組
(2023)7-11商品卡50元
(2022)環保帆布手提袋(黃
(2022)加氛 抗菌洗手乳
(2021)環保帆布手提袋(黃"
2464,盟立,5,2025,全家 50元商品卡,70.9,250,3.53,5 星,電子投票截圖,"(2025)全家 50元商品卡
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元
(2021)全家禮物卡50元"
2465,麗臺,7,2025,BtNPN植物奈米貼片(二入),54.8,390,9.96,5 星,電子投票截圖,"(2025)BtNPN植物奈米貼片(二入)
(2024)BtNPN植物奈米貼片(三入)
(2023)樂美雅高級圓盤
(2023)伊拉法兒 乳霜皂85克三入
(2023)BtNPN植物奈米貼片(二片入)
(2022)USB充電式手電筒
(2021)伊拉法兒 乳霜皂85克三入"
2467,志聖,5,2025,矽膠摺疊杯,363.5,200,0.55,3 星,電子投票截圖,"(2025)矽膠摺疊杯
(2024)環保餐具組(志聖)
(2023)環保餐具組(志聖)
(2022)三合一可充電手電筒
(2021)圍脖"
2471,資通,5,2025,南僑水晶肥皂2入,52.3,240,4.59,5 星,電子投票截圖,"(2025)南僑水晶肥皂2入
(2024)水晶肥皂食器洗滌液體100ml
(2023)蜂王草本植舒亮澤皂60克二入
(2022)醫療口罩6入(資通)
(2021)顏帝亞嬰兒皂一入"
2478,大毅,5,2025,7-11 50元商品卡,67.8,220,3.24,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11中杯美式或現萃茶提貨卡
(2022)7-11中杯美式或現萃茶提貨卡
(2021)7-11中杯美式或現萃茶提貨卡"
2480,敦陽科,5,2025,7-11 35元商品卡,142,175,1.23,4 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
2481,強茂,5,2025,毛寶好無比洗衣精,96.9,230,2.37,5 星,電子投票截圖,"(2025)毛寶好無比洗衣精
(2024)蜂王洋甘菊舒緩潤膚皂60克二入
(2023)蜂王草本植舒亮澤皂60克二入
(2022)毛寶繽紛花園抗菌洗手乳
(2021)毛寶繽紛花園抗菌洗手乳"
2482,連宇,4,2025,沙威隆肥皂組,16.2,200,9.88,5 星,電子投票截圖,"(2025)沙威隆肥皂組
(2024)高露潔旅行牙膏組
(2023)伊莎貝爾櫻花香皂75克三入組
(2022)伊莎貝爾香皂75克二入"
2484,希華,5,2025,宜蘭好米,26.9,260,9.67,5 星,電子投票截圖,"(2025)宜蘭好米
(2024)日曬海鹽450克
(2023)宜蘭好米500克
(2022)好勁道家常麵條二包
(2021)四季釀造油膏300ml"
2485,兆赫,5,2025,統一超商60元商品卡,62,250,4.03,5 星,電子投票截圖,"(2025)統一超商60元商品卡
(2024)萊爾富商品卡50元
(2023)7-11商品卡50元
(2022)伊莎貝爾抗菌手工皂六入
(2021)妙管家懷特保溫杯450ml"
2486,一詮,5,2025,全家 中杯美式咖啡卡,152,250,1.64,5 星,電子投票截圖,"(2025)全家 中杯美式咖啡卡
(2024)全家經典中杯美式咖啡券(期限20270630)
(2023)全家經典大杯美式咖啡提領券
(2022)全家大杯美式咖啡提領卡(期限20250630)
(2021)全家經典大杯美式咖啡提領券"
2488,漢平,5,2025,7-11 35元商品卡,47.6,175,3.68,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元
(2021)7-11商品卡35元"
2489,瑞軒,5,2025,充電式磁吸感應燈,41.35,200,3.39,5 星,電子投票截圖和身分證件正本,"(2025)充電式磁吸感應燈
(2024)USB Type-C to C 傳輸充電編織線
(2023)隱藏式雙掛勾(一入)
(2022)口罩收納組合(口罩三入加純水濕巾10抽加夾鏈袋)
(2021)口罩收納組合(口罩三入加純水濕巾10抽加夾鏈袋)"
2493,揚博,5,2025,蔬果刨刀二入組,104,220,2.12,5 星,電子投票截圖,"(2025)蔬果刨刀二入組
(2024)造型便當盒1200ML
(2023)歐風精華皂94克二入
(2022)洗手乳加香皂組
(2021)三用照明燈"
2498,宏達電,5,2025,HTC多彩環保對杯,42,200,4.76,5 星,電子投票截圖,"(2025)HTC多彩環保對杯
(2024)HTC雙面抗UV機能帽PLUS乙頂
(2023)HTC雙面抗UV機能帽乙頂
(2022)HTC隨身保溫杯袋組乙組
(2021)休閒折疊椅"
2504,國產,5,2025,超輕量冰壩杯,37.7,200,5.31,5 星,電子投票截圖,"(2025)超輕量冰壩杯
(2024)真空保溫杯490ml(國產)
(2023)7-11中杯美式或現萃茶提貨卡 二張
(2022)4D立體醫用口罩8入
(2021)防疫口罩 10入"
2506,太設,2,2025,輕飲御口保溫瓶,8.92,80,2.51,5 星,電子投票截圖和身分證件正本,"(2025)輕飲御口保溫瓶
(2022)花仙子茶樹檸檬洗手乳300g"
2515,中工,5,2025,陶瓷隨行杯,16,360,15.75,5 星,電子投票截圖和身分證件正本,"(2025)陶瓷隨行杯
(2024)金尊陶瓷手拿杯
(2023)收納袋旅行組
(2022)LED三角警示燈
(2021)兩用野餐保冷袋"
2516,新建,5,2025,保溫袋與摺疊便當盒,13.75,240,17.45,5 星,電子投票截圖,"(2025)保溫袋與摺疊便當盒
(2024)高級三合一充電線
(2023)樂美雅21cm強化餐盤
(2022)防疫休閒組
(2021)休閒頸枕"
2520,冠德,5,2025,環球購物中心禮券100元卡,32.85,330,10.05,5 星,電子投票截圖,"(2025)環球購物中心禮券100元卡
(2024)環球購物中心禮券100元
(2023)雙層隔熱玻璃瓶
(2022)環保擦板文具組
(2021)手工皂禮盒"
2534,宏盛,5,2025,西螺米,20.2,350,17.33,5 星,電子投票截圖,"(2025)西螺米
(2024)白米一公斤(宏盛2024)(改給經典米600克×2)
(2023)白米1公斤(宏盛)
(2022)白米一公斤(宏盛)
(2021)白米 一公斤(宏盛2021)"
2535,達欣工,5,2025,NAKAMURA日式陶瓷四入碗,73.3,240,3.27,5 星,電子投票截圖,"(2025)NAKAMURA日式陶瓷四入碗
(2024)野營旋扣玻璃保鮮罐
(2023)USB智能觸控檯燈
(2022)Travel Fox 日式簡約保溫保冰袋
(2021)真空mini保溫瓶"
2537,聯上發,3,2025,毛寶好無比洗衣精,10.1,150,8.91,5 星,電子投票截圖,"(2025)毛寶好無比洗衣精
(2024)妙管家強效洗衣粉500克
(2023)毛寶洗碗精(潔淨強化) 450克"
2538,基泰,1,2022,7-11商品卡50元,10.15,50,0.99,4 星,,(2022)7-11商品卡50元
2546,根基,5,2025,環球購物中心禮券100元卡,83.4,330,3.96,5 星,電子投票截圖,"(2025)環球購物中心禮券100元卡
(2024)環球購物中心禮券100元
(2023)雙層隔熱玻璃瓶
(2022)環保擦板文具組
(2021)手工皂禮盒"
2547,日勝生,6,2025,美容刷,11.1,240,25.95,5 星,電子投票截圖,"(2025)美容刷
(2024)抗痕肌能拉提面膜/玉肌晶透美白面膜(隨機出貨)
(2023)LactoSkin 玉肌晶透美白面膜
(2022)莎菲亞 初乳抗菌防護噴霧 初乳胺基酸潔顏霜
(2022)莎菲亞 橙沐森林保濕沐浴露
(2021)LACTOSKIN膠原蛋白水晶凍"
2601,益航,5,2025,妙管家手提玻璃晶靚杯,6.22,200,22.51,5 星,寄單(開會通知書)和身分證件正本,"(2025)妙管家手提玻璃晶靚杯
(2024)妙管家多功能儲物盒1.2L
(2023)妙管家媽咪廚房三寶
(2022)妙管家可調式桌上型手機支架
(2021)妙管家多功能運動雪克杯"
2603,長榮,5,2025,陶瓷不鏽鋼真空保溫隨手杯500ML,207.5,590,1.99,5 星,電子投票截圖和身分證件正本,"(2025)陶瓷不鏽鋼真空保溫隨手杯500ML
(2024)Jack wolfskin輕柔薄毯
(2023)康寧陶瓷不鏽鋼真空保溫雙飲隨行杯
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2605,新興,5,2025,苦茶油香皂禮盒,34.75,440,12.66,5 星,電子投票截圖,"(2025)苦茶油香皂禮盒
(2024)不鏽鋼高級修容組
(2023)日式青瓷碗三入
(2022)不鏽鋼環保餐具三件組(改發盤子)
(2021)樂活杯"
2607,榮運,1,2022,7-11商品卡50元,53.7,50,0.19,2 星,,(2022)7-11商品卡50元
2608,嘉里大榮,2,2025,64G隨身碟,31.15,80,0.72,3 星,電子投票截圖和身分證件正本,"(2025)64G隨身碟
(2022)兩件式環保餐具組"
2609,陽明,1,2024,7-11商品卡100元,59.2,100,0.34,2 星,電子投票截圖,(2024)7-11商品卡100元
2611,志信,3,2025,7-11 35元商品卡,14.85,135,3.82,5 星,電子投票截圖和身分證件正本,"(2025)7-11 35元商品卡
(2023)全家禮物卡50元
(2022)全家禮物卡50元"
2612,中航,2,2025,7-11 50元商品卡,57.3,100,0.7,3 星,電子投票截圖,"(2025)7-11 50元商品卡
(2022)7-11商品卡50元"
2613,中櫃,2,2025,保溫保冷袋,25.7,90,1.4,4 星,電子投票截圖,"(2025)保溫保冷袋
(2022)蜂王橄欖潤澤草本皂二入"
2614,東森,5,2025,森美妍胺基酸保濕潔面霜,21,210,10,5 星,電子投票截圖,"(2025)森美妍胺基酸保濕潔面霜
(2024)活絡豐盈精油洗髮露300ml
(2023)特潤水光保濕面膜
(2022)自然美頂級植萃呵護精油
(2021)超效保濕爆水氣墊面膜"
2616,山隆,5,2025,春風抽取式衛生紙(6包散裝),17.55,150,8.55,5 星,寄單(開會通知書),"(2025)春風抽取式衛生紙(6包散裝)
(2024)春風三層抽取式廚紙一串3包
(2023)春風抽取式衛生紙110抽10包
(2022)春風抽取式衛生紙110抽10包
(2021)春風抽取式衛生紙110抽10包"
2618,長榮航,2,2024,陶瓷保溫杯墊禮盒組,33.55,170,1.42,4 星,身分證件正本,"(2024)陶瓷保溫杯墊禮盒組
(2022)7-11商品卡50元"
2636,台驊控股,5,2025,炭錢黃金皂組,69,250,3.62,5 星,電子投票截圖,"(2025)炭錢黃金皂組
(2024)菲蘇德美燕麥潔膚皂二入
(2024)全家禮物卡50元
(2023)全家禮物卡50元
(2022)全家禮物卡50元"
2641,正德,4,2025,7-11 35元商品卡,18.7,140,5.99,5 星,電子投票截圖,"(2025)7-11 35元商品卡
(2024)7-11商品卡35元
(2023)7-11商品卡35元
(2022)7-11商品卡35元"
2704,國賓,2,2024,彈跳保溫杯320ML(國賓),42.6,80,0.53,3 星,電子投票截圖或身分證件圖片,"(2024)彈跳保溫杯320ML(國賓)
(2021)鍋寶時尚沖茶器"
2705,六福,8,2025,六福村主題樂園門票乙張(六福村水樂園不適用)(紀念品有效期間114.6.9(一)~114.6.13(五)),16.5,3817,370.13,5 星,電子投票截圖,"(2025)六福村主題樂園門票乙張(六福村水樂園不適用)(紀念品有效期間114.6.9(一)~114.6.13(五))
(2024)六福村主題樂園門票(六福村水樂園不適用)
(2023)醃篤鮮火鍋湯
(2023)南洋叻沙濃湯麵
(2023)酸白菜火鍋湯
(2023)本幫醃篤鮮高湯麵
(2022)六福村動物紋雨衣
(2021)動物好朋友 口罩香氛貼片 6入"
2727,王品,5,2025,王品股東大禮包,228,2000,8.77,5 星,電子投票截圖,"(2025)王品股東大禮包
(2024)王品股東大禮包2024
(2023)王品股東大禮包
(2022)王品股東大禮包
(2021)王品股東大禮包"
2731,雄獅,2,2025,國內外團體旅遊兌換券700元,173.5,1900,4.38,5 星,電子投票截圖,"(2025)國內外團體旅遊兌換券700元
(2024)國內外團體旅遊兌換券700元(國內團體200元及國外團體500元)"
2734,易飛網,2,2025,高露潔旅行組(牙刷牙膏20g),16.4,100,2.44,5 星,電子投票截圖,"(2025)高露潔旅行組(牙刷牙膏20g)
(2024)沙威隆抗菌皂 80克二入"
2740,天蔥,1,2021,天蔥貴賓券$100元1張,41.75,100,0.48,3 星,,(2021)天蔥貴賓券$100元1張
2801,彰銀,1,2023,全家禮物卡100元,20.6,100,0.97,4 星,,(2023)全家禮物卡100元
2812,台中銀,1,2023,毛寶小蘇打液體皂500g,20.8,50,0.48,3 星,,(2023)毛寶小蘇打液體皂500g
2820,華票,2,2024,7-11中杯美式或現萃茶提貨卡,17.05,75,1.23,4 星,電子投票截圖或身分證件圖片,"(2024)7-11中杯美式或現萃茶提貨卡
(2021)全家禮贈卡35元(華票 期限11月30日)"
2832,台產,3,2023,全家禮物卡50元,47.9,150,1.88,5 星,,"(2023)全家禮物卡50元
(2022)7-11商品卡50元
(2021)7-11商品卡50元"
2834,臺企銀,4,2025,7-11商品卡(面額新臺幣50元),15,225,12,5 星,電子投票截圖,"(2025)7-11商品卡(面額新臺幣50元)
(2024)7-11商品卡100元
(2022)7-11商品卡35元
(2021)兩極食器精品杯"
2880,華南金,5,2025,LINEFRIENDS不鏽鋼杯與造型吊飾組,33.85,470,13.88,5 星,寄單(開會通知書),"(2025)LINEFRIENDS不鏽鋼杯與造型吊飾組
(2024)SNOOPY事事如意碗組
(2023)卡娜赫拉陶瓷保鮮盒
(2022)樂扣樂扣耐熱玻璃保鮮盤
(2021)法國樂美雅餐盤25CM 2入組"
2883,凱基金,6,2025,電動研磨器,20.1,560,33.43,5 星,電子投票截圖,"(2025)電動研磨器
(2024)經典野餐墊
(2023)超真空不鏽鋼晶鑽杯
(2022)故宮花鳥碗(6入)組
(2021)觸控顯示智能保溫杯
(2021)不鏽鋼濾網玻璃杯"
2885,元大金,4,2025,全家 100元商品卡,43.3,400,7.39,5 星,電子投票截圖,"(2025)全家 100元商品卡
(2024)全家禮物卡100元
(2023)7-11商品卡100元
(2022)7-11商品卡100元"
2887,台新新光金,8,2025,精緻密封調味罐,24.75,480,31.03,5 星,電子投票截圖,"(2025)精緻密封調味罐
(2024)時尚不鏽鋼玻璃調味罐
(2024)方形密封易撥罐
(2024)攜帶型手機平板支架
(2024)小熊保溫保冷提袋
(2023)時尚不鏽鋼玻璃調味罐
(2022)攜帶型手機平板支架
(2021)攜帶型手機平板支架"
2889,國票金,4,2025,7-11 50元商品卡,16.3,200,9.82,5 星,電子投票截圖,"(2025)7-11 50元商品卡
(2024)7-11商品卡50元
(2023)7-11商品卡50元
(2021)7-11商品卡50元"
2890,永豐金,6,2025,全家 100元商品卡,31.75,510,13.49,5 星,電子投票截圖或身分證件圖片,"(2025)全家 100元商品卡
(2025)金元包
(2024)豐收椅
(2023)寬庭豐收盤組
(2022)黃金萬兩茶摳禮盒
(2021)寬庭時尚旅行毯"
2891,中信金,7,2025,護眼愛地球可調光檯燈,51.3,460,12.55,5 星,電子投票截圖,"(2025)護眼愛地球可調光檯燈
(2024)不鏽鋼雙層隔熱多功能碗850ml
(2024)不鏽鋼雙層隔熱多功能碗850ml
(2023)SNOOPY圓形微波保鮮盒620ml
(2023)SNOOPY圓形微波保鮮盒620ml
(2022)智能肩頸舒緩儀
(2021)臺灣茶摳防疫隨身組"
